ID,ALIMENTO,Energia KJ,Energia Kcal,Umidade g,Carboidrato total,Carboidrato disponível,Proteína,Lipídios,Fibra alimentar,Álcool,Cinzas,Colesterol,Ácidos graxos saturados,Ácidos graxos monoinsaturados,Ácidos graxos polinsaturados,Ácidos graxos trans,Cálcio,Ferro,Sódio,Magnésio,Fósforo,Potássio,Zinco,Cobre,Selênio,Vitamina A (RE),Vitamina A (RAE),Vitamina D,Alfa-tocoferol (Vitamina E),Tiamina,Riboflavina,Niacina,Vitamina B6,Vitamina B12,Vitamina C,Equivalente de folato,Sal de adição,Açúcar de adição
C0665F,"Carne, boi, paleta, s/ gordura, frita (c/ óleo de soja), c/ sal, Bos taurus,",1008,242,"57,6",0,0,"27,2","14,7",0,0,"1,22","50,9","4,32","4,6","4,96","0,19","5,28","1,99",232,"16,2",180,228,"6,24","0,11","2,68",tr,tr,"0,07","0,97","0,03","0,04","1,98",tr,"3,47",0,"6,99","0,45",0
C0634F,"Carne, boi, patinho, s/ gordura, frita (c/ óleo de soja), c/ sal, Bos taurus,",1101,263,"50,5",0,0,"32,9","14,7",0,0,"1,64",115,"4,05","4,69","5,05","0,15","4,5","2,78",234,25,264,385,"7,41","0,14","3,44",tr,tr,"0,07","1,17","0,03","0,03","2,76",tr,"2,01",0,"17,4","0,45",0
C0441F,"Carne, boi, patinho, s/ gordura, grelhada, c/ óleo, cebola e alho, c/ sal,",890,212,"55,3","0,79","0,69","34,2",8,"0,11",0,"1,71",119,"3,11","3,19","0,91","0,12","5,39","2,89",237,"26,5",276,409,"7,7","0,12",0,0,0,0,"0,33","0,04","0,03","2,86","0,01","3,98","0,21","13,1","0,45",0
C0447F,"Carne, boi, patinho, s/ gordura, grelhada, c/ manteiga, c/ sal,",1102,264,"51,2",0,0,"32,3","14,8",0,0,"1,63",133,"7,71","4,88","0,41","0,38","4,77","2,73",234,"24,7",260,379,"7,28","0,12","0,1","99,4","98,1",0,"0,43","0,03","0,03","2,71",0,"3,79",0,12,"0,45",0
C0823F,"Carne, boi, picanha, grelhada/assada, s/ óleo, c/ sal (média de amostras c/ e s/ gordura), Bos taurus,",1062,254,"53,8",0,0,29,"15,4",0,0,"1,6","95,3","6,17","7,17","0,35","0,2","4,3","3,36",239,"24,6",262,364,"6,07","0,16","41,4",tr,tr,"0,13","0,47","0,01","0,07","1,7","0,08","3,35",0,"3,99","0,45",0
C0466F,"Carne, boi, picanha, s/ gordura, grelhada, c/ manteiga, c/ sal,",1183,284,"51,3",0,0,"28,8","18,4",0,0,"1,56",110,"8,97","6,77","0,41","0,39","4,44","3,2",234,23,254,339,"6,03","0,16","0,1","99,4","98,1","0,27",1,0,"0,08","1,64","0,03","2,38",0,"0,3","0,45",0
C0742F,"Carne, frango, asa, c/ pele, assada, s/ óleo, c/ sal, Gallus gallus,",969,233,"61,7",0,0,"23,1","15,6",0,0,"1,33",125,"4,89","7,33","3,33","0,04",14,"0,69",284,"23,7",158,161,"1,59","0,02","11,6","9,93","9,93","0,11","0,77","0,08","0,06","2,64",tr,"0,22",0,"5,66","0,45",0
C0740F,"Carne, frango, asa, c/ pele, cozida (lí­quido do cozimento excluído), s/ óleo, c/ sal, Gallus gallus,",924,222,64,0,0,21,"15,3",0,0,"1,25",114,"4,43","6,65","3,02","0,04","10,8","0,53",224,"18,8",125,"97,8","1,44","0,01","10,5","6,6","6,6","0,07","0,48","0,07","0,05","1,79",tr,"0,15",0,"4,28","0,45",0
C0744F,"Carne, frango, asa, c/ pele, frita (c/ óleo de soja), c/ sal, Gallus gallus,",1186,286,"56,7",0,0,"21,3","22,3",0,0,"1,26",115,"5,71","8,6","7,84","0,08","12,9","0,64",275,"21,8",145,148,"1,47","0,04","10,7",tr,tr,"0,1","1,67","0,08","0,05","2,43",tr,"0,2",0,"5,21","0,45",0
C0773F,"Carne, frango, coração, frita (c/ óleo de soja), c/ sal, Gallus gallus,",1054,254,"58,2",0,0,"20,6",19,0,0,"1,68",256,"4,42","5,76","6,23","0,13","7,76","5,98",297,"18,4",252,222,"3,16","0,28","5,44",tr,tr,NA,NA,"0,18","0,18","8,88",tr,"6,45","3,03","59,2","0,45",0
C0771F,"Carne, frango, coração, grelhada, s/ óleo, c/ sal, Gallus gallus,",825,198,"63,2",0,0,"22,3",12,0,0,"1,79",279,"3,48","4,24","1,58","0,1","8,42","6,5",307,20,274,241,"3,43","0,3","5,91",tr,tr,NA,NA,"0,2","0,19","9,66",tr,"7,01","3,3","64,3","0,45",0
C0842F,"Carne, frango, coxa, c/ pele, assada, s/ óleo, c/ sal,",865,207,"59,5","0,06","0,06","28,4","10,3",0,0,"1,74",144,"3,09","3,78","2,19","0,14","8,41","1,21",274,"13,9",250,316,"2,54","0,05",NA,NA,NA,"0,13","0,21","0,05","0,05","10,4",0,"0,48",0,"6,19","0,45",0
